route,stopid,progr_number,stop_name
65,1127,26,Riverside Cottages
65,1157,61,Riverside Cottages
65b,1127,26,Riverside Cottages
65b,1157,61,Riverside Cottages
67,3905,55,Riverview
67,7108,15,Riverview
67x,3905,55,Riverview
67x,7108,15,Riverview
151,6149,35,Riverview Park
43,3650,38,Roadstone Retail
43,3659,15,Roadstone Retail
13,1978,39,Robin Hood Ind Est
68,1978,39,Robin Hood Ind Est
69,1978,39,Robin Hood Ind Est
151,6144,31,Robinhood Ind Estate
13,1957,22,Robinhood Road
68,1957,22,Robinhood Road
69,1957,22,Robinhood Road
32,3591,6,Robswall Crescent
32,3619,53,Robswall Crescent
32x,3619,53,Robswall Crescent
4,426,23,Rock Road
4,469,49,Rock Road
7,426,23,Rock Road
7,469,49,Rock Road
7a,426,23,Rock Road
7a,469,49,Rock Road
7d,469,49,Rock Road
84a,469,49,Rock Road
44b,3498,16,Rockfield
67,3925,67,Rockfield Manor
67x,3925,67,Rockfield Manor
40b,1551,66,Rockmount
40b,1556,4,Rockmount
83,1551,66,Rockmount
83,1556,4,Rockmount
83a,1551,66,Rockmount
83a,1556,4,Rockmount
11,3031,19,Roebuck Downs
11,861,41,Roebuck Road
33,3768,56,Rogerstown Lane
33,3850,43,Rogerstown Lane
33x,3768,56,Rogerstown Lane
33x,3850,43,Rogerstown Lane
7b,2024,23,Rory O'Connor Park
7b,2054,32,Rory O'Connor Park
7d,2024,23,Rory O'Connor Park
7d,2054,32,Rory O'Connor Park
151,6143,37,Rosebank
151,6242,14,Rosebank
68x,6242,14,Rosebank
38,1795,19,Rosecourt
38,1804,34,Rosecourt
38a,1795,19,Rosecourt
38a,1804,34,Rosecourt
38b,1795,19,Rosecourt
38b,1804,34,Rosecourt
38d,1795,19,Rosecourt
38d,1804,34,Rosecourt
65,2578,47,Rosedale
65,2587,39,Rosedale
25,2218,32,Roselawn
25x,2218,32,Roselawn
66,2218,32,Roselawn
66a,2218,32,Roselawn
66b,2218,32,Roselawn
66e,2218,32,Roselawn
67,2218,32,Roselawn
40d,7243,31,Rosemount Bus. Park
44,2892,35,Rosemount Estate
44,5032,46,Rosemount Estate
61,2892,35,Rosemount Estate
61,5032,46,Rosemount Estate
40d,2510,14,Rosemount Park
15b,7063,14,Rosemount SC
15b,7064,34,Rosemount SC
15d,7063,14,Rosemount SC
15d,7064,34,Rosemount SC
145,4416,5,Roseville Court
155,4416,5,Roseville Court
84,4416,5,Roseville Court
84a,4416,5,Roseville Court
33,3767,55,Rosewood
33,3851,44,Rosewood
33x,3767,55,Rosewood
33x,3851,44,Rosewood
25b,7139,8,Rossberry Avenue
27,2624,86,Rossfield
145,4172,62,Rosslyn
150,4865,3,Rossmore Drive
150,6132,28,Rossmore Drive
54a,6132,28,Rossmore Drive
150,4861,34,Rossmore Road
150,4864,2,Rossmore Road
14,2989,47,Rostrevor Terrace
14,3000,28,Rostrevor Terrace
14c,3000,28,Rostrevor Terrace
4,3116,6,Rowan Park
4,3162,82,Rowan Park
84,3116,6,Rowan Park
84,3162,82,Rowan Park
84a,3116,6,Rowan Park
84a,3162,82,Rowan Park
7b,7419,26,Rowanbyrn
7b,7422,29,Rowanbyrn
7d,7419,26,Rowanbyrn
7d,7422,29,Rowanbyrn
40,2121,12,Rowlagh
40,2126,69,Rowlagh
40,2678,5,Rowlagh
51d,2678,5,Rowlagh
40,2679,6,Rowlagh Cresent
40,4691,72,Rowlagh Cresent
51d,2679,6,Rowlagh Cresent
51d,4691,72,Rowlagh Cresent
120,4504,2,Royal Canal Avenue
120,4538,23,Royal Canal Avenue
120,7028,3,Royal Canal Centre
116,756,64,Royal Hospital
116,777,11,Royal Hospital
118,777,11,Royal Hospital
145,756,64,Royal Hospital
145,777,11,Royal Hospital
155,756,64,Royal Hospital
155,777,11,Royal Hospital
25x,756,64,Royal Hospital
25x,777,11,Royal Hospital
39a,756,64,Royal Hospital
39a,777,11,Royal Hospital
41x,756,64,Royal Hospital
41x,777,11,Royal Hospital
46a,756,64,Royal Hospital
46a,777,11,Royal Hospital
46e,777,11,Royal Hospital
51x,756,64,Royal Hospital
66x,756,64,Royal Hospital
66x,777,11,Royal Hospital
67x,756,64,Royal Hospital
67x,777,11,Royal Hospital
77x,756,64,Royal Hospital
7b,756,64,Royal Hospital
7b,777,11,Royal Hospital
7d,756,64,Royal Hospital
7d,777,11,Royal Hospital
9,2415,54,Royston Village
116,762,70,RTE
116,770,4,RTE
118,770,4,RTE
145,762,70,RTE
145,770,4,RTE
155,762,70,RTE
155,770,4,RTE
25x,762,70,RTE
25x,770,4,RTE
27x,2085,29,RTE
27x,2089,61,RTE
32x,762,70,RTE
32x,770,4,RTE
39a,762,70,RTE
39a,770,4,RTE
41x,762,70,RTE
41x,770,4,RTE
46a,762,70,RTE
46a,770,4,RTE
46e,770,4,RTE
47,2085,29,RTE
47,2089,61,RTE
51x,762,70,RTE
66x,762,70,RTE
66x,770,4,RTE
67x,762,70,RTE
67x,770,4,RTE
77x,762,70,RTE
7b,762,70,RTE
7b,770,4,RTE
7d,2089,61,RTE
7d,762,70,RTE
7d,770,4,RTE
33,3849,42,Rush & Lusk Stn
33x,3849,42,Rush & Lusk Stn
33,3785,72,Rush Athletic FC
33,3832,28,Rush Athletic FC
33x,3785,72,Rush Athletic FC
33x,3832,28,Rush Athletic FC
33,3783,70,Rush Cricket Club
33,3835,31,Rush Cricket Club
33x,3783,70,Rush Cricket Club
33x,3835,31,Rush Cricket Club
33,3840,35,Rush Garda Station
33x,3840,35,Rush Garda Station
33,3778,66,Rush Main Street
33,3837,33,Rush Main Street
33x,3778,66,Rush Main Street
33x,3837,33,Rush Main Street
33,3565,21,Rush Road
33x,3565,21,Rush Road
65,7207,77,Russborough House
65,7208,6,Russborough House
27,4642,91,Russell Estate
27,4644,3,Russell Lane
150,1388,14,Rutland Avenue
150,1403,25,Rutland Avenue
151,3952,33,Rutland Avenue
27,3952,33,Rutland Avenue
56a,3952,33,Rutland Avenue
77a,3952,33,Rutland Avenue
123,513,15,Rutland Street
53,513,15,Rutland Street
53a,513,15,Rutland Street
150,1439,10,Rutledge Terrace
150,4857,29,Rutledge Terrace
66,3960,49,Ryevale Lawns
66,3990,11,Ryevale Lawns
66e,3960,49,Ryevale Lawns
66x,3960,49,Ryevale Lawns
66x,3990,11,Ryevale Lawns
122,1282,36,S Great George's St
14,1283,3,S Great George's St
140,1283,3,S Great George's St
15,1283,3,S Great George's St
15a,1283,3,S Great George's St
15b,1283,3,S Great George's St
15d,1283,3,S Great George's St
16,1282,36,S Great George's St
65,1283,3,S Great George's St
65b,1283,3,S Great George's St
68,1282,36,S Great George's St
68a,1282,36,S Great George's St
83,1283,3,S Great George's St
83a,1283,3,S Great George's St
9,1282,36,S Great George's St
142,3642,44,Sacred Heart Church
32x,3642,44,Sacred Heart Church
39,1864,21,Sacred Heart Church
39,1873,54,Sacred Heart Church
39a,1864,21,Sacred Heart Church
39a,1873,54,Sacred Heart Church
42,3642,44,Sacred Heart Church
42d,3642,44,Sacred Heart Church
65b,2562,47,Sacred Heart FC
77a,2562,47,Sacred Heart FC
69,3434,48,Saggart
69,3455,12,Saggart
69x,3434,48,Saggart
69x,3455,12,Saggart
79,2909,29,Saint Ultans School
79,7507,4,Saint Ultans School
79a,2909,29,Saint Ultans School
79a,7507,4,Saint Ultans School
67,3912,63,Salesian College
67,3921,7,Salesian College
67x,3912,63,Salesian College
67x,3921,7,Salesian College
49,4760,28,Sally Park Close
65b,4760,28,Sally Park Close
7,7643,46,Sallyglen Road
7,7644,10,Sallyglen Road
7a,4462,30,Sallynoggin
7d,4462,30,Sallynoggin
7a,3210,48,Sallynoggin College
7a,3234,29,Sallynoggin College
7d,3234,29,Sallynoggin College
7a,3205,43,Sallynoggin Road
66,3956,45,Salmon Leap
66a,3956,45,Salmon Leap
66b,3956,45,Salmon Leap
66e,3956,45,Salmon Leap
66x,3956,45,Salmon Leap
25,2250,26,Salmon Pool
26,2250,26,Salmon Pool
66,2250,26,Salmon Pool
66a,2250,26,Salmon Pool
66b,2250,26,Salmon Pool
66e,2250,26,Salmon Pool
67,2250,26,Salmon Pool
11,853,35,Sandford Road
11,855,37,Sandford Road
44,853,35,Sandford Road
44,855,37,Sandford Road
61,853,35,Sandford Road
61,855,37,Sandford Road
7d,3051,45,Sandycove Road
7d,3063,15,Sandycove Road
7d,3048,42,Sandycove Station
7d,3067,15,Sandycove Station
44,3470,61,Sandyford Hall
44,3488,22,Sandyford Hall
47,5142,40,Sandyford Luas
44,2828,51,Sandyford Road
44b,2828,51,Sandyford Road
1,374,15,Sandymount
1,387,39,Sandymount
47,374,15,Sandymount
47,387,39,Sandymount
1,378,20,Sandymount Tower
47,378,20,Sandymount Tower
31a,692,7,Santa Sabina Manor
31b,692,7,Santa Sabina Manor
16,1626,41,Santry Close
16,1637,10,Santry Close
16c,1637,10,Santry Close
27b,1626,41,Santry Close
27b,1637,10,Santry Close
33,1626,41,Santry Close
33,1637,10,Santry Close
41,1626,41,Santry Close
41,1637,10,Santry Close
41a,1637,10,Santry Close
41b,1626,41,Santry Close
41b,1637,10,Santry Close
41c,1626,41,Santry Close
41c,1637,10,Santry Close
13,6182,79,Santry Cross
155,6182,79,Santry Cross
4,6182,79,Santry Cross
42d,6182,79,Santry Cross
16,1627,42,Santry Retail Park
27b,1627,42,Santry Retail Park
33,1627,42,Santry Retail Park
41,1627,42,Santry Retail Park
41b,1627,42,Santry Retail Park
41c,1627,42,Santry Retail Park
16,1325,12,Sarah Curran Avenue
16c,1325,12,Sarah Curran Avenue
40,2644,11,Sarsfield Medical
79,2644,11,Sarsfield Medical
79a,2644,11,Sarsfield Medical
25,2230,6,Sarsfield Park
145,1476,31,Sarsfield Quay
25,1476,31,Sarsfield Quay
25a,1476,31,Sarsfield Quay
25b,1476,31,Sarsfield Quay
25d,1476,31,Sarsfield Quay
25x,1476,31,Sarsfield Quay
26,1476,31,Sarsfield Quay
51d,1476,31,Sarsfield Quay
66,1476,31,Sarsfield Quay
66a,1476,31,Sarsfield Quay
66b,1476,31,Sarsfield Quay
66e,1476,31,Sarsfield Quay
66x,1476,31,Sarsfield Quay
67,1476,31,Sarsfield Quay
67x,1476,31,Sarsfield Quay
69,1476,31,Sarsfield Quay
747,1476,31,Sarsfield Quay
79,1476,31,Sarsfield Quay
79a,1476,31,Sarsfield Quay
40,2643,10,Sarsfield Road
40,2716,27,Sarsfield Road
79,2643,10,Sarsfield Road
7a,3237,33,Sarsfield Street
7d,3237,33,Sarsfield Street
150,5148,22,Saul Road
7d,7667,3,Saval Park Road
15,1145,65,Scholarstown Road
15,1150,6,Scholarstown Road
15b,7445,41,Scholarstown Road
69,4560,56,School Road
69,4564,1,School Road
69x,4560,56,School Road
69x,4564,1,School Road
16,1624,21,Schoolhouse Lane
16,1639,37,Schoolhouse Lane
16c,1639,37,Schoolhouse Lane
33,1624,21,Schoolhouse Lane
33,1639,37,Schoolhouse Lane
41,1624,21,Schoolhouse Lane
41,1639,37,Schoolhouse Lane
41a,1639,37,Schoolhouse Lane
41b,1624,21,Schoolhouse Lane
41b,1639,37,Schoolhouse Lane
41c,1624,21,Schoolhouse Lane
41c,1639,37,Schoolhouse Lane
116,7587,24,Science Gallery
118,7587,24,Science Gallery
145,7587,24,Science Gallery
25x,7587,24,Science Gallery
32x,7587,24,Science Gallery
37,7587,24,Science Gallery
39,7587,24,Science Gallery
39a,7587,24,Science Gallery
39x,7587,24,Science Gallery
41x,7587,24,Science Gallery
66x,7587,24,Science Gallery
67x,7587,24,Science Gallery
70,7587,24,Science Gallery
7b,7587,24,Science Gallery
7d,7587,24,Science Gallery
84x,7587,24,Science Gallery
38,4314,20,Scoil Bhride
66,6161,13,Scoil Bhride
66e,6161,13,Scoil Bhride
66x,6161,13,Scoil Bhride
70d,4314,20,Scoil Bhride
69,3446,5,Scoil Chronain
83,2466,4,Scoil Colm
83a,2466,4,Scoil Colm
25,2219,33,Scoil Mhuire NS
25x,2219,33,Scoil Mhuire NS
39,1870,51,Scoil Mhuire NS
39a,1870,51,Scoil Mhuire NS
66,2219,33,Scoil Mhuire NS
66a,2219,33,Scoil Mhuire NS
66b,2219,33,Scoil Mhuire NS
66e,2219,33,Scoil Mhuire NS
67,2219,33,Scoil Mhuire NS
39,1883,36,Scoil Oilibheir
49,4756,11,Scoil Treasa
130,1744,17,Scoil U?? Chonaill
83,2450,65,Scoil Una Naofa
83a,2450,65,Scoil Una Naofa
32,3588,3,Sea Park
32,3622,55,Sea Park
32x,3588,3,Sea Park
32x,3622,55,Sea Park
84,4260,1,Sea Road
84,4309,82,Sea Road
84,4956,87,Sea Road
84x,4260,1,Sea Road
84x,4305,80,Sea Road
84x,4956,87,Sea Road
84,4307,11,Sea Road Lane
84x,4307,11,Sea Road Lane
142,4331,22,Seabury Road
32x,4331,22,Seabury Road
42,4331,22,Seabury Road
42d,4331,22,Seabury Road
130,1777,6,Seafield Avenue
116,2008,44,Seafield Road
116,2084,38,Seafield Road
118,2084,38,Seafield Road
130,1762,35,Seafield Road
130,1776,5,Seafield Road
145,2008,44,Seafield Road
145,2084,38,Seafield Road
155,2008,44,Seafield Road
155,2084,38,Seafield Road
46a,2008,44,Seafield Road
46a,2084,38,Seafield Road
46e,2084,38,Seafield Road
47,2008,44,Seafield Road
47,2084,38,Seafield Road
7b,2008,44,Seafield Road
7b,2084,38,Seafield Road
7d,2008,44,Seafield Road
7d,2084,38,Seafield Road
130,1761,34,Seafield Road Junc
140,6276,44,Seagrave Terrace
142,3627,51,Seamount Road
142,3631,9,Seamount Road
42,3627,51,Seamount Road
42,3631,9,Seamount Road
42d,3627,51,Seamount Road
42d,3631,9,Seamount Road
130,1755,8,Seapark
130,1760,33,Seapark Road
41x,7114,16,Seatown Road
43,6359,50,Seatown Road
33,3752,3,Seatown Villas
41a,3752,3,Seatown Villas
41c,3752,3,Seatown Villas
41x,3752,3,Seatown Villas
43,3752,3,Seatown Villas
43,4433,2,Seatown Villas
33d,7204,6,Seaview
53,2717,11,Seaview Avenue
33,3566,12,Selskar Court
33,3571,89,Selskar Court
33x,3566,12,Selskar Court
33x,3571,89,Selskar Court
33,3569,88,Selskar Road
33x,3569,88,Selskar Road
77a,2535,46,Seskin View Road
77a,2606,27,Seskin View Road
77a,2614,44,Seskin View Road
77x,2606,27,Seskin View Road
1,226,1,Shanard Avenue
1,224,41,Shanard Road
40,4411,76,Shancastle
51d,4411,76,Shancastle
40,4688,2,Shancastle Park
51d,4688,2,Shancastle Park
7b,3540,13,Shanganagh Bridge
7b,3554,4,Shanganagh Bridge
7d,3540,13,Shanganagh Bridge
145,4125,71,Shanganagh Castle
145,4204,10,Shanganagh Castle
155,4125,71,Shanganagh Castle
155,4204,10,Shanganagh Castle
84,4125,71,Shanganagh Castle
84,4204,10,Shanganagh Castle
84a,4125,71,Shanganagh Castle
84a,4204,10,Shanganagh Castle
145,4126,72,Shanganagh Cemetery
145,5090,9,Shanganagh Cemetery
155,4126,72,Shanganagh Cemetery
155,5090,9,Shanganagh Cemetery
84,4126,72,Shanganagh Cemetery
84a,4126,72,Shanganagh Cemetery
145,3132,63,Shanganagh Vale
155,3132,63,Shanganagh Vale
84,3132,63,Shanganagh Vale
84a,3132,63,Shanganagh Vale
1,223,40,Shanliss Drive
1,227,4,Shanliss Drive
1,222,39,Shanliss Road
1,228,2,Shanliss Road
1,225,42,Shanowen Avenue
1,221,38,Shanowen Road
1,230,5,Shanowen Road
16,1622,19,Shanowen Road
33,1622,19,Shanowen Road
41,1622,19,Shanowen Road
41b,1622,19,Shanowen Road
41c,1622,19,Shanowen Road
16,232,16,Shantalla Avenue
16c,232,16,Shantalla Avenue
16,218,63,Shantalla Road
1,231,39,Shanvarna Road Est
16,231,39,Shanvarna Road Est
16c,231,39,Shanvarna Road Est
33,231,39,Shanvarna Road Est
41,231,39,Shanvarna Road Est
41a,231,39,Shanvarna Road Est
41b,231,39,Shanvarna Road Est
41c,231,39,Shanvarna Road Est
1,400,5,Shaw Street
120,400,5,Shaw Street
15a,400,5,Shaw Street
15b,400,5,Shaw Street
15d,400,5,Shaw Street
25,400,5,Shaw Street
25a,400,5,Shaw Street
25b,400,5,Shaw Street
25d,400,5,Shaw Street
26,400,5,Shaw Street
4,400,5,Shaw Street
44,400,5,Shaw Street
47,400,5,Shaw Street
56a,400,5,Shaw Street
61,400,5,Shaw Street
66,400,5,Shaw Street
66a,400,5,Shaw Street
66b,400,5,Shaw Street
66e,400,5,Shaw Street
67,400,5,Shaw Street
7,400,5,Shaw Street
77a,400,5,Shaw Street
7a,400,5,Shaw Street
31a,700,13,Shearwater
31a,715,62,Shearwater
31b,700,13,Shearwater
31b,715,62,Shearwater
7b,3538,10,Sheelin Estate
7b,3557,7,Sheelin Estate
7d,3538,10,Sheelin Estate
39,1869,50,Sheepmoor Avenue
39a,1869,50,Sheepmoor Avenue
39,4464,49,Sheepmoor Grove
39,4489,26,Sheepmoor Grove
39a,4464,49,Sheepmoor Grove
39a,4489,26,Sheepmoor Grove
39,1899,61,Shelerin Road
39,6088,17,Shelerin Road
39a,1899,61,Shelerin Road
33,3793,80,Shenick Road
33,3824,20,Shenick Road
33x,3793,80,Shenick Road
33x,3824,20,Shenick Road
151,6251,3,Sheriff Street
53a,6251,3,Sheriff Street
31a,688,2,Shielmartin Road
31b,688,2,Shielmartin Road
84x,7367,20,Shoreline Sports
145,3130,61,Shrewsbury Lawn
145,3148,21,Shrewsbury Lawn
155,3130,61,Shrewsbury Lawn
155,3148,21,Shrewsbury Lawn
84,3130,61,Shrewsbury Lawn
84,3148,21,Shrewsbury Lawn
84a,3130,61,Shrewsbury Lawn
84a,3148,21,Shrewsbury Lawn
27x,419,16,Shrewsbury Park
4,419,16,Shrewsbury Park
7,419,16,Shrewsbury Park
7a,419,16,Shrewsbury Park
27x,482,50,Shrewsbury Road
4,482,50,Shrewsbury Road
7,482,50,Shrewsbury Road
7a,482,50,Shrewsbury Road
7,3204,42,Silchester Park
7a,3204,42,Silchester Park
7d,3204,42,Silchester Park
13,323,60,Silloge Golf Club
13,327,6,Silloge Golf Club
4,323,60,Silloge Golf Club
4,327,6,Silloge Golf Club
123,6056,47,Sisters of Charity
14,244,72,Skelly's Lane
14,250,3,Skelly's Lane
14c,250,3,Skelly's Lane
33,3798,84,Skerries
33,3819,16,Skerries
33x,3798,84,Skerries
33x,3819,16,Skerries
33,6076,86,Skerries GAA Club
33,7292,14,Skerries GAA Club
33x,6076,86,Skerries GAA Club
33x,7292,14,Skerries GAA Club
33,3794,81,Skerries RFC
33,3823,19,Skerries RFC
33x,3794,81,Skerries RFC
33x,3823,19,Skerries RFC
33,3781,68,Skerries Road
33x,3781,68,Skerries Road
33,3567,13,Skerries Station
33,6077,87,Skerries Station
33x,3567,13,Skerries Station
33x,6077,87,Skerries Station
44,4087,74,Ski Club of Ireland
44,4122,10,Ski Club of Ireland
37,1658,26,Skreen Road
37,1704,36,Skreen Road
38,1905,39,Skreen Road
38a,1905,39,Skreen Road
38b,1905,39,Skreen Road
38d,1905,39,Skreen Road
39,1905,39,Skreen Road
39a,1905,39,Skreen Road
70,1905,39,Skreen Road
1,44,46,Skylon Hotel
11,44,46,Skylon Hotel
13,44,46,Skylon Hotel
16,44,46,Skylon Hotel
16c,44,46,Skylon Hotel
33,44,46,Skylon Hotel
41,44,46,Skylon Hotel
41a,44,46,Skylon Hotel
41b,44,46,Skylon Hotel
41c,44,46,Skylon Hotel
44,44,46,Skylon Hotel
65,2585,37,Slade Hill
65,7395,49,Slade Hill
150,3355,16,Slane Road
140,1509,31,Slaney Road
40,1509,31,Slaney Road
40b,1509,31,Slaney Road
40d,1509,31,Slaney Road
44b,3497,15,Slate Cabin Lane
123,2185,25,Slievebloom Road
151,2185,25,Slievebloom Road
27,2185,25,Slievebloom Road
56a,2185,25,Slievebloom Road
77a,2185,25,Slievebloom Road
122,1412,42,Slievenamon Road
122,1433,10,Slievenamon Road
123,1455,32,Slievenamon Road
123,1467,16,Slievenamon Road
31a,689,3,Slieverue Lodge
31b,689,3,Slieverue Lodge
46a,2042,4,Smith's Villas
33d,5069,47,Somerton
7b,3243,35,Somerton
7b,7056,20,Somerton
150,2318,23,Somerville Avenue
44,2823,45,Sommerville
61,2823,45,Sommerville
150,2330,17,Sommerville Avenue
11,443,54,South Avenue
11,454,9,South Avenue
123,1377,56,South Circular Road
68,1376,55,South Circular Road
68,1377,56,South Circular Road
68a,1376,55,South Circular Road
68a,1377,56,South Circular Road
27,4647,51,South Dublin CC
54a,4647,51,South Dublin CC
65,4647,51,South Dublin CC
77a,4647,51,South Dublin CC
142,1028,52,South Hill
142,1062,6,South Hill
84,2995,74,South Park
84,3124,13,South Park
84a,2995,74,South Park
84a,3124,13,South Park
14,1016,7,South Richmond St
14,1072,79,South Richmond St
140,1016,7,South Richmond St
140,1072,79,South Richmond St
142,1016,7,South Richmond St
142,1072,79,South Richmond St
14c,1072,79,South Richmond St
15,1016,7,South Richmond St
15,1072,79,South Richmond St
15a,1016,7,South Richmond St
15a,1072,79,South Richmond St
15b,1016,7,South Richmond St
15b,1072,79,South Richmond St
15d,1016,7,South Richmond St
15d,1072,79,South Richmond St
65,1016,7,South Richmond St
65,1072,79,South Richmond St
65b,1016,7,South Richmond St
65b,1072,79,South Richmond St
83,1016,7,South Richmond St
83,1072,79,South Richmond St
83a,1016,7,South Richmond St
83a,1072,79,South Richmond St
7d,3055,49,South Winds
145,7574,1,Southern Cross
84x,4591,17,Southern Cross
68,1374,22,Southern Cross Ave
68a,1374,22,Southern Cross Ave
84x,7363,17,Southern Cross Rd
54a,2599,58,Spawell Centre
65,2599,58,Spawell Centre
122,1348,26,Spencer St South
16,1348,26,Spencer St South
16c,1348,26,Spencer St South
68,1348,26,Spencer St South
68a,1348,26,Spencer St South
9,1348,26,Spencer St South
122,1415,45,Sperrin Road
122,1429,7,Sperrin Road
79,2670,1,Spiddal Park
79,2908,32,Spiddal Park
79,2910,2,Spiddal Road
14,1168,72,Spire View Lane
14c,1168,72,Spire View Lane
15,1168,72,Spire View Lane
15a,1168,72,Spire View Lane
15b,1168,72,Spire View Lane
15d,1168,72,Spire View Lane
65,1168,72,Spire View Lane
65b,1168,72,Spire View Lane
26,2686,2,Sports Club
40,2686,2,Sports Club
33,3772,60,Spout Road
33,3846,40,Spout Road
33x,3772,60,Spout Road
33x,3846,40,Spout Road
69,3436,9,Spring Bank
69,3453,50,Spring Bank
69x,3453,50,Spring Bank
27a,630,33,Springdale Road
27a,637,7,Springdale Road
145,4177,2,Springfield Cemetery
145,5092,69,Springfield Cemetery
66,3954,43,Springfield Hotel
66,4000,7,Springfield Hotel
66a,3954,43,Springfield Hotel
66a,4000,7,Springfield Hotel
66b,3954,43,Springfield Hotel
66b,4000,7,Springfield Hotel
66e,3954,43,Springfield Hotel
66e,4000,7,Springfield Hotel
66x,3954,43,Springfield Hotel
66x,4000,7,Springfield Hotel
56a,2750,6,Springfield PO
15,1158,62,Springfield Road
49,1158,62,Springfield Road
65,1158,62,Springfield Road
65b,1158,62,Springfield Road
39,1904,40,Springlawn
77a,2426,34,St Aengus Church
77a,2447,38,St Aengus Church
77x,2426,34,St Aengus Church
150,2327,14,St Agnes Road
150,2328,15,St Agnes Road
31d,1643,80,St Aidan's School
44,1643,80,St Aidan's School
25,2220,34,St Andrew's NS
25,2231,7,St Andrew's NS
84,4207,47,St Andrew's NS
84,4304,41,St Andrew's NS
122,1366,15,St Andrews Centre
122,1381,57,St Andrews Centre
68,1366,15,St Andrews Centre
68,1381,57,St Andrews Centre
68a,1366,15,St Andrews Centre
68a,1381,57,St Andrews Centre
29a,656,23,St Anne's Avenue
7d,3543,16,St Anne's Church
29a,4472,25,St Anne's Drive
130,1750,29,St Anne's Park
122,1363,12,St Anne's Road S
68,1363,12,St Anne's Road S
68a,1363,12,St Anne's Road S
84,4268,14,St Anthony Church
84x,4268,14,St Anthony Church
120,4935,14,St Attracta Road
15,4385,22,St Brendan's Church
27,4385,22,St Brendan's Church
27x,4385,22,St Brendan's Church
42,4385,22,St Brendan's Church
43,4385,22,St Brendan's Church
9,2455,62,St Brendan's Cres
9,2460,5,St Brendan's Cres
15,1274,32,St Brendans Church
27,1274,32,St Brendans Church
27x,1274,32,St Brendans Church
42,1274,32,St Brendans Church
43,1274,32,St Brendans Church
29a,606,29,St Bridgets Church
31,606,29,St Bridgets Church
31a,606,29,St Bridgets Church
31b,606,29,St Bridgets Church
31d,606,29,St Bridgets Church
32,606,29,St Bridgets Church
29a,709,20,St Brigid's Church
31,709,20,St Brigid's Church
31a,709,20,St Brigid's Church
31b,709,20,St Brigid's Church
31d,709,20,St Brigid's Church
32,709,20,St Brigid's Church
37,1673,34,St Brigid's Church
38,1673,34,St Brigid's Church
70d,1673,34,St Brigid's Church
84,3149,70,St Brigid's Church
84a,3149,70,St Brigid's Church
65,2583,35,St Brigid's Home
65,6124,50,St Brigid's Home
40,835,50,St Brigid's Rd Lower
40b,835,50,St Brigid's Rd Lower
40d,835,50,St Brigid's Rd Lower
83,154,45,St Brigid's School
83a,154,45,St Brigid's School
83,138,56,St Canice's BNS
83a,138,56,St Canice's BNS
9,138,56,St Canice's BNS
39,1860,16,St Ciaran's Church
39,1877,58,St Ciaran's Church
39a,1860,16,St Ciaran's Church
39a,1877,58,St Ciaran's Church
16,1344,23,St Claire's NS
16c,1344,23,St Claire's NS
49,1344,23,St Claire's NS
54a,1344,23,St Claire's NS
9,1344,23,St Claire's NS
54a,2389,45,St Clare's Avenue
9,2389,45,St Clare's Avenue
41a,4924,11,St Colmcille GAA
41c,4917,50,St Colmcille GAA
41c,4924,11,St Colmcille GAA
41x,4924,11,St Colmcille GAA
15,4869,66,St Colmcille's Way
15,4887,5,St Colmcille's Way
145,3135,66,St Columcille's Hosp
145,3143,16,St Columcille's Hosp
155,3135,66,St Columcille's Hosp
155,3143,16,St Columcille's Hosp
84,3135,66,St Columcille's Hosp
84,3143,16,St Columcille's Hosp
84a,3135,66,St Columcille's Hosp
84a,3143,16,St Columcille's Hosp
84x,3135,66,St Columcille's Hosp
84x,3143,16,St Columcille's Hosp
41,4906,4,St Cronan's Avenue
41,4913,50,St Cronan's Avenue
41a,4906,4,St Cronan's Avenue
41b,4913,50,St Cronan's Avenue
41c,4906,4,St Cronan's Avenue
41c,4913,50,St Cronan's Avenue
41x,4906,4,St Cronan's Avenue
41x,4913,50,St Cronan's Avenue
41,4907,5,St Cronan's Lawn
41a,4907,5,St Cronan's Lawn
41c,4907,5,St Cronan's Lawn
41x,4907,5,St Cronan's Lawn
145,4154,4,St Cronan's Road
155,4154,4,St Cronan's Road
84,4154,4,St Cronan's Road
84a,4154,4,St Cronan's Road
13,4670,84,St Cuthberts Court
51d,4670,84,St Cuthberts Court
51x,4670,84,St Cuthberts Court
13,2141,80,St Cuthberts Road
13,2374,7,St Cuthberts Road
51d,2141,80,St Cuthberts Road
51x,2141,80,St Cuthberts Road
37,1528,42,St David's Terrace
37,1654,21,St David's Terrace
31d,911,37,St Domhnach's Well
32,911,37,St Domhnach's Well
29a,741,15,St Donagh's Road
42,1209,32,St Doolagh's Park
42,1214,23,St Doolagh's Park
43,1209,32,St Doolagh's Park
43,1214,23,St Doolagh's Park
42,1208,31,St Doulagh's Church
42,1215,24,St Doulagh's Church
43,1208,31,St Doulagh's Church
43,1215,24,St Doulagh's Church
16,1326,13,St Enda's Drive
16c,1326,13,St Enda's Drive
15b,7442,38,St Enda's GAA Club
15b,7444,10,St Enda's GAA Club
16,2992,11,St Enda's Park
16,7068,68,St Enda's Park
16c,2992,11,St Enda's Park
145,4175,67,St Fergal's Church
120,825,16,St Finbar's Road
120,829,9,St Finbar's Road
25a,4611,35,St Finnian's
